,root,LTBI,notLTBI,LTBIpos,LTBIneg,notLTBIpos,notLTBIneg,screen,notscreen,Tx,notTx,Sxhep,notSxhep,nausea,notnausea,complete,notcomplete,LTBIeffective,LTBInoteffective,notLTBIeffective,notLTBInoteffective
root,,0.3,0.7,,,,,,,,,,,,,,,,,,
LTBI,,,,,,,,1,0,,,,,,,,,,,,
notLTBI,,,,,,,,1,0,,,,,,,,,,,,
LTBIpos,,,,,,,,,,,,,,,,,,,,,
LTBIneg,,,,,,,,,,,,,,,,,,,,,
notLTBIpos,,,,,,,,,,,,,,,,,,,,,
notLTBIneg,,,,,,,,,,,,,,,,,,,,,
screen,,,,,,,,,,,,,,,,,,,,,
notscreen,,,,,,,,,,,,,,,,,,,,,
Tx,,,,,,,,,,,,,,,,,,,,,
notTx,,,,,,,,,,,,,,,,,,,,,
Sxhep,,,,,,,,,,,,,,,,,,,,,
notSxhep,,,,,,,,,,,,,,,,,,,,,
nausea,,,,,,,,,,,,,,,,,,,,,
notnausea,,,,,,,,,,,,,,,,,,,,,
complete,,,,,,,,,,,,,,,,,,,,,
notcomplete,,,,,,,,,,,,,,,,,,,,,
LTBIeffective,,,,,,,,,,,,,,,,,,,,,
LTBInoteffective,,,,,,,,,,,,,,,,,,,,,
notLTBIeffective,,,,,,,,,,,,,,,,,,,,,
notLTBInoteffective,,,,,,,,,,,,,,,,,,,,,
